DATE1,SYMBOL,SERIES,PREV_CLOSE,Open,High,Low,LAST_PRICE,Close,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,50SMA,is_rising,is_rising_10d,is_Bullish,is_hammer,50_support,20SMA,20STD,LBB,LBB_support,decision
2023-01-02,BAJFINANCE, EQ,6575.2,6565.0,6610.0,6484.75,6560.0,6553.75,6545.62,579340,37921.4,60052,105116,18.14,,N,,N,N,N,,,,N,
2023-01-03,BAJFINANCE, EQ,6553.75,6565.0,6660.0,6530.0,6602.05,6606.25,6611.29,742081,49061.14,75142,175089,23.59,,N,,Y,N,N,,,,N,
2023-01-04,BAJFINANCE, EQ,6606.25,6595.0,6638.0,6550.0,6562.0,6571.0,6587.5,671253,44218.76,69213,217994,32.48,,N,,N,N,N,,,,N,
2023-01-05,BAJFINANCE, EQ,6571.0,6490.0,6490.0,6025.05,6096.0,6100.05,6136.53,5102300,313104.12,578552,1909084,37.42,,N,,N,N,N,,,,N,
2023-01-06,BAJFINANCE, EQ,6100.05,6130.0,6139.95,5941.6,5984.0,5980.4,6017.36,2931922,176424.42,267972,1053817,35.94,,N,,N,N,N,,,,N,
2023-01-09,BAJFINANCE, EQ,5980.4,6020.0,6078.0,5955.0,5982.9,5993.35,6017.96,1400548,84284.42,155286,584720,41.75,,N,,N,N,N,,,,N,
2023-01-10,BAJFINANCE, EQ,5993.35,5999.0,6015.0,5875.0,5902.0,5904.15,5921.99,1120375,66348.51,121981,463499,41.37,,N,,N,N,N,,,,N,
2023-01-11,BAJFINANCE, EQ,5904.15,5930.0,5949.0,5865.55,5907.0,5895.75,5900.04,1108891,65424.96,105235,517989,46.71,,N,,N,N,N,,,,N,
2023-01-12,BAJFINANCE, EQ,5895.75,5906.55,5964.9,5857.0,5901.0,5898.4,5897.29,1476949,87099.9,147040,775580,52.51,,N,,N,N,N,,,,N,
2023-01-13,BAJFINANCE, EQ,5898.4,5920.0,5985.0,5872.0,5977.0,5977.8,5932.89,1108490,65765.52,93132,556339,50.19,,N,,Y,N,N,,,,N,
2023-01-16,BAJFINANCE, EQ,5977.8,6000.0,6072.2,5974.55,6010.0,6010.9,6025.7,908339,54733.74,87381,283140,31.17,,N,,Y,N,N,,,,N,
2023-01-17,BAJFINANCE, EQ,6010.9,6019.95,6019.95,5940.0,5985.0,5984.95,5971.13,817005,48784.45,97505,371742,45.5,,N,,N,N,N,,,,N,
2023-01-18,BAJFINANCE, EQ,5984.95,6003.95,6049.0,5985.0,5994.0,5998.65,6011.73,796281,47870.23,81458,382803,48.07,,N,,N,N,N,,,,N,
2023-01-19,BAJFINANCE, EQ,5998.65,5983.0,6029.65,5960.65,6005.5,6012.45,6002.98,548142,32904.83,66663,191744,34.98,,N,,Y,N,N,,,,N,
2023-01-20,BAJFINANCE, EQ,6012.45,6012.5,6019.75,5837.2,5846.0,5860.4,5916.0,833090,49285.59,96164,390050,46.82,,N,,N,N,N,,,,N,
2023-01-23,BAJFINANCE, EQ,5860.4,5881.0,5935.0,5841.0,5864.95,5863.0,5886.8,856064,50394.78,71999,476370,55.65,,N,,N,N,N,,,,N,
2023-01-24,BAJFINANCE, EQ,5863.0,5892.35,5921.0,5842.65,5858.0,5855.05,5871.81,608145,35709.09,77552,256895,42.24,,N,,N,N,N,,,,N,
2023-01-25,BAJFINANCE, EQ,5855.05,5850.05,5855.05,5777.0,5803.0,5795.9,5810.24,827837,48099.34,74984,411050,49.65,,N,,N,N,N,,,,N,
